order_id,order_date,order_time,order_hour,feature_active,period,zone,delivery_distance_km,distance_bucket,peak_flag,delivery_time_min,promised_eta_min,order_status,customer_rating,rider_id
1013,2024-02-29,2024-02-29 17:35:00,17,No,After,High,20.0,Long (7+ km),Non-Peak,65.5,54.3,Delivered,3.8,R197
1014,2024-02-19,2024-02-19 10:52:00,10,No,After,High,3.86,Medium (3-7 km),Non-Peak,21.4,19.7,Delivered,3.9,R069
1015,2024-01-05,2024-01-05 12:36:00,12,Yes,Before,Low,3.02,Medium (3-7 km),Peak,28.7,17.1,Delivered,3.9,R168
1016,2024-02-01,2024-02-01 14:58:00,14,No,After,Medium,7.08,Long (7+ km),Peak,44.5,28.3,Cancelled,,R036
1017,2024-01-16,2024-01-16 18:34:00,18,Yes,Before,High,8.9,Long (7+ km),Non-Peak,32.9,29.9,Delivered,4.6,R150
1018,2024-01-26,2024-01-26 13:08:00,13,Yes,Before,Medium,3.68,Medium (3-7 km),Peak,23.7,18.1,Delivered,4.4,R013
1019,2024-02-25,2024-02-25 11:40:00,11,No,After,High,1.19,Short (0-3 km),Non-Peak,18.7,13.6,Delivered,3.6,R153
1020,2024-01-05,2024-01-05 14:38:00,14,Yes,Before,Low,5.49,Medium (3-7 km),Peak,37.8,23.2,Delivered,4.2,R142
1021,2024-02-25,2024-02-25 21:43:00,21,No,After,Medium,1.94,Short (0-3 km),Peak,26.2,15.8,Delivered,3.4,R138
1022,2024-02-18,2024-02-18 12:41:00,12,No,After,High,4.07,Medium (3-7 km),Peak,34.7,21.9,Delivered,4.2,R041
1023,2024-01-30,2024-01-30 08:46:00,8,Yes,Before,Low,2.52,Short (0-3 km),Non-Peak,23.1,17.7,Delivered,5.0,R129
1024,2024-02-18,2024-02-18 12:58:00,12,No,After,High,2.22,Short (0-3 km),Peak,40.9,15.0,Delivered,3.4,R164
1025,2024-02-02,2024-02-02 17:09:00,17,No,After,High,10.52,Long (7+ km),Non-Peak,43.2,33.8,Delivered,3.1,R200
1026,2024-02-29,2024-02-29 16:00:00,16,No,After,Medium,5.68,Medium (3-7 km),Non-Peak,35.4,25.3,Delivered,3.5,R029
1027,2024-02-29,2024-02-29 13:53:00,13,No,After,Low,3.75,Medium (3-7 km),Peak,51.4,19.9,Delivered,2.7,R062
1028,2024-02-26,2024-02-26 16:05:00,16,No,After,High,4.92,Medium (3-7 km),Non-Peak,29.5,23.0,Delivered,2.9,R018
1029,2024-02-18,2024-02-18 16:08:00,16,No,After,High,6.1,Medium (3-7 km),Non-Peak,34.7,23.4,Delivered,3.9,R141
1030,2024-01-11,2024-01-11 12:55:00,12,Yes,Before,Medium,3.14,Medium (3-7 km),Peak,29.3,18.9,Delivered,4.6,R139
1031,2024-02-18,2024-02-18 18:12:00,18,No,After,Medium,2.78,Short (0-3 km),Non-Peak,23.9,18.7,Delivered,4.5,R172
1032,2024-02-11,2024-02-11 13:57:00,13,No,After,Medium,6.76,Medium (3-7 km),Peak,46.3,25.7,Cancelled,,R058
1033,2024-01-05,2024-01-05 13:37:00,13,Yes,Before,Medium,6.95,Medium (3-7 km),Peak,35.7,26.8,Delivered,4.5,R002
1034,2024-01-05,2024-01-05 18:03:00,18,Yes,Before,High,3.93,Medium (3-7 km),Non-Peak,23.1,19.5,Delivered,3.7,R085
1035,2024-01-05,2024-01-05 16:17:00,16,Yes,Before,Medium,4.58,Medium (3-7 km),Non-Peak,24.2,23.0,Delivered,4.6,R034
1036,2024-02-16,2024-02-16 21:36:00,21,No,After,Medium,2.93,Short (0-3 km),Peak,31.4,17.0,Delivered,4.1,R122
1037,2024-02-21,2024-02-21 14:06:00,14,No,After,High,4.69,Medium (3-7 km),Peak,47.1,23.3,Delivered,3.2,R109
1038,2024-01-27,2024-01-27 15:46:00,15,Yes,Before,High,4.61,Medium (3-7 km),Non-Peak,22.5,22.2,Delivered,4.5,R166
1039,2024-01-07,2024-01-07 10:46:00,10,Yes,Before,High,2.77,Short (0-3 km),Non-Peak,20.0,18.5,Delivered,3.8,R064
1040,2024-01-13,2024-01-13 12:28:00,12,Yes,Before,High,5.8,Medium (3-7 km),Peak,38.1,24.9,Delivered,4.9,R119
1041,2024-01-16,2024-01-16 20:04:00,20,Yes,Before,High,5.03,Medium (3-7 km),Peak,26.2,21.3,Delivered,3.3,R141
1042,2024-01-07,2024-01-07 10:34:00,10,Yes,Before,Low,3.52,Medium (3-7 km),Non-Peak,28.3,18.6,Delivered,3.1,R193
1043,2024-02-24,2024-02-24 12:26:00,12,No,After,High,3.64,Medium (3-7 km),Peak,30.5,19.6,Delivered,3.3,R103
1044,2024-02-27,2024-02-27 10:24:00,10,No,After,High,6.3,Medium (3-7 km),Non-Peak,33.0,25.5,Delivered,3.3,R117
1045,2024-01-19,2024-01-19 14:46:00,14,Yes,Before,Low,8.86,Long (7+ km),Peak,43.8,30.5,Delivered,4.5,R184
1046,2024-02-01,2024-02-01 11:18:00,11,No,After,High,3.22,Medium (3-7 km),Non-Peak,23.3,17.2,Delivered,3.2,R189
1047,2024-02-04,2024-02-04 10:20:00,10,No,After,High,10.28,Long (7+ km),Non-Peak,42.2,34.8,Delivered,2.7,R129
1048,2024-02-28,2024-02-28 20:10:00,20,No,After,High,2.39,Short (0-3 km),Peak,44.7,16.5,Delivered,3.3,R048
1049,2024-01-05,2024-01-05 17:43:00,17,Yes,Before,Low,2.36,Short (0-3 km),Non-Peak,24.6,15.5,Delivered,2.3,R146
1050,2024-01-16,2024-01-16 17:02:00,17,Yes,Before,Medium,2.69,Short (0-3 km),Non-Peak,17.7,17.1,Delivered,5.0,R150
1051,2024-02-06,2024-02-06 16:59:00,16,No,After,High,8.69,Long (7+ km),Non-Peak,37.6,31.7,Delivered,5.0,R081
1052,2024-01-16,2024-01-16 12:08:00,12,Yes,Before,Medium,2.74,Short (0-3 km),Peak,25.1,16.1,Delivered,3.8,R081
1053,2024-02-29,2024-02-29 18:04:00,18,No,After,High,6.19,Medium (3-7 km),Non-Peak,29.7,25.5,Delivered,5.0,R145
1054,2024-01-07,2024-01-07 10:13:00,10,Yes,Before,Medium,1.69,Short (0-3 km),Non-Peak,18.0,16.6,Delivered,3.9,R090
1055,2024-02-26,2024-02-26 10:15:00,10,No,After,High,4.97,Medium (3-7 km),Non-Peak,27.8,23.0,Delivered,3.5,R140
1056,2024-02-15,2024-02-15 13:51:00,13,No,After,Medium,7.03,Long (7+ km),Peak,50.6,26.3,Cancelled,,R142
1057,2024-01-20,2024-01-20 21:06:00,21,Yes,Before,Low,5.91,Medium (3-7 km),Peak,30.7,25.3,Delivered,3.5,R030
1058,2024-02-26,2024-02-26 11:35:00,11,No,After,High,5.89,Medium (3-7 km),Non-Peak,32.7,25.2,Delivered,3.5,R054
1059,2024-02-15,2024-02-15 13:43:00,13,No,After,Medium,5.11,Medium (3-7 km),Peak,44.0,23.9,Delivered,4.3,R126
1060,2024-01-17,2024-01-17 21:54:00,21,Yes,Before,High,5.27,Medium (3-7 km),Peak,28.1,23.5,Delivered,4.6,R071
1061,2024-01-03,2024-01-03 08:49:00,8,Yes,Before,High,1.83,Short (0-3 km),Non-Peak,17.2,16.3,Delivered,3.5,R042
1062,2024-02-17,2024-02-17 14:45:00,14,No,After,High,6.12,Medium (3-7 km),Peak,41.0,23.6,Cancelled,,R020
1063,2024-02-26,2024-02-26 18:09:00,18,No,After,Medium,1.58,Short (0-3 km),Non-Peak,24.3,13.8,Delivered,3.9,R150
1064,2024-02-05,2024-02-05 11:08:00,11,No,After,High,3.38,Medium (3-7 km),Non-Peak,26.0,17.7,Delivered,3.4,R011
1065,2024-02-27,2024-02-27 13:43:00,13,No,After,High,5.93,Medium (3-7 km),Peak,46.8,25.9,Cancelled,,R200
1066,2024-02-05,2024-02-05 20:26:00,20,No,After,Low,3.13,Medium (3-7 km),Peak,45.5,18.2,Delivered,3.5,R061
1067,2024-02-25,2024-02-25 11:51:00,11,No,After,Low,4.47,Medium (3-7 km),Non-Peak,36.4,21.6,Delivered,4.2,R007
1068,2024-01-12,2024-01-12 18:21:00,18,Yes,Before,Medium,4.24,Medium (3-7 km),Non-Peak,24.8,20.0,Delivered,4.0,R172
1069,2024-02-25,2024-02-25 18:15:00,18,No,After,High,4.64,Medium (3-7 km),Non-Peak,30.4,21.8,Delivered,4.6,R028
1070,2024-01-25,2024-01-25 20:54:00,20,Yes,Before,High,7.24,Long (7+ km),Peak,36.3,27.7,Delivered,4.1,R118
1071,2024-01-23,2024-01-23 13:50:00,13,Yes,Before,Low,7.3,Long (7+ km),Peak,36.5,26.6,Delivered,2.9,R169
1072,2024-01-13,2024-01-13 14:17:00,14,Yes,Before,Low,3.45,Medium (3-7 km),Peak,27.3,20.5,Delivered,3.1,R072
1073,2024-01-23,2024-01-23 17:25:00,17,Yes,Before,Medium,5.37,Medium (3-7 km),Non-Peak,28.2,22.3,Delivered,3.4,R085
1074,2024-01-02,2024-01-02 11:16:00,11,Yes,Before,High,11.2,Long (7+ km),Non-Peak,38.9,37.6,Delivered,4.4,R068
1075,2024-01-03,2024-01-03 11:27:00,11,Yes,Before,High,2.59,Short (0-3 km),Non-Peak,17.5,18.2,Delivered,4.1,R112
1076,2024-02-08,2024-02-08 23:07:00,23,No,After,High,8.32,Long (7+ km),Non-Peak,35.5,30.6,Delivered,3.7,R066
1077,2024-01-03,2024-01-03 18:00:00,18,Yes,Before,Medium,3.83,Medium (3-7 km),Non-Peak,19.7,20.4,Delivered,4.5,R176
1078,2024-02-16,2024-02-16 21:47:00,21,No,After,Medium,2.08,Short (0-3 km),Peak,35.9,16.1,Delivered,3.8,R018
1079,2024-02-12,2024-02-12 21:39:00,21,No,After,High,9.73,Long (7+ km),Peak,57.2,32.6,Delivered,3.8,R185
1080,2024-02-27,2024-02-27 13:19:00,13,No,After,Medium,6.19,Medium (3-7 km),Peak,42.7,24.0,Delivered,2.7,R179
1081,2024-01-19,2024-01-19 16:12:00,16,Yes,Before,High,9.23,Long (7+ km),Non-Peak,34.3,31.4,Delivered,5.0,R174
1082,2024-02-17,2024-02-17 21:39:00,21,No,After,Medium,4.65,Medium (3-7 km),Peak,33.9,21.6,Delivered,3.7,R001
1083,2024-01-20,2024-01-20 13:27:00,13,Yes,Before,Medium,4.47,Medium (3-7 km),Peak,30.7,20.6,Delivered,3.3,R083
1084,2024-01-30,2024-01-30 14:43:00,14,Yes,Before,High,5.38,Medium (3-7 km),Peak,25.8,24.5,Delivered,3.6,R189
1085,2024-01-11,2024-01-11 17:18:00,17,Yes,Before,Medium,12.52,Long (7+ km),Non-Peak,43.5,37.7,Delivered,3.9,R086
1086,2024-01-06,2024-01-06 19:48:00,19,Yes,Before,High,3.44,Medium (3-7 km),Peak,21.9,18.2,Delivered,3.6,R051
1087,2024-01-10,2024-01-10 08:15:00,8,Yes,Before,Low,4.61,Medium (3-7 km),Non-Peak,26.2,22.5,Delivered,4.2,R197
1088,2024-01-05,2024-01-05 15:56:00,15,Yes,Before,Medium,3.16,Medium (3-7 km),Non-Peak,20.8,19.4,Delivered,4.1,R179
1089,2024-01-25,2024-01-25 15:15:00,15,Yes,Before,High,3.1,Medium (3-7 km),Non-Peak,18.2,18.3,Delivered,3.5,R193
1090,2024-02-25,2024-02-25 18:06:00,18,No,After,Medium,2.1,Short (0-3 km),Non-Peak,28.7,14.7,Delivered,4.2,R179
1091,2024-02-03,2024-02-03 15:35:00,15,No,After,High,2.73,Short (0-3 km),Non-Peak,24.8,17.3,Delivered,3.7,R117
1092,2024-01-09,2024-01-09 19:42:00,19,Yes,Before,Medium,2.01,Short (0-3 km),Peak,21.3,14.5,Delivered,3.3,R082
1093,2024-02-18,2024-02-18 20:39:00,20,No,After,Low,2.64,Short (0-3 km),Peak,34.3,18.5,Delivered,4.7,R110
1094,2024-02-23,2024-02-23 21:28:00,21,No,After,Low,6.96,Medium (3-7 km),Peak,60.2,27.1,Delivered,3.2,R122
1095,2024-01-29,2024-01-29 12:15:00,12,Yes,Before,Low,3.6,Medium (3-7 km),Peak,31.6,19.0,Delivered,3.8,R200
1096,2024-02-03,2024-02-03 15:15:00,15,No,After,High,7.12,Long (7+ km),Non-Peak,33.1,26.0,Delivered,3.4,R074
1097,2024-01-16,2024-01-16 12:20:00,12,Yes,Before,Low,3.28,Medium (3-7 km),Peak,26.8,18.1,Delivered,4.2,R039
1098,2024-01-15,2024-01-15 14:09:00,14,Yes,Before,Medium,2.96,Short (0-3 km),Peak,24.9,16.8,Cancelled,,R105
1099,2024-01-22,2024-01-22 16:26:00,16,Yes,Before,High,5.45,Medium (3-7 km),Non-Peak,24.9,22.8,Delivered,4.4,R100
1100,2024-02-27,2024-02-27 18:44:00,18,No,After,High,5.76,Medium (3-7 km),Non-Peak,32.3,24.4,Delivered,4.3,R148
1101,2024-01-25,2024-01-25 15:22:00,15,Yes,Before,High,3.06,Medium (3-7 km),Non-Peak,16.9,18.0,Delivered,3.2,R108
1102,2024-02-04,2024-02-04 18:34:00,18,No,After,Medium,4.59,Medium (3-7 km),Non-Peak,29.3,20.6,Delivered,2.7,R125
1103,2024-01-15,2024-01-15 12:31:00,12,Yes,Before,High,18.03,Long (7+ km),Peak,56.6,50.1,Delivered,4.0,R174
1104,2024-02-21,2024-02-21 14:10:00,14,No,After,Low,7.41,Long (7+ km),Peak,54.6,28.6,Delivered,3.3,R160
1105,2024-02-04,2024-02-04 09:25:00,9,No,After,Medium,15.13,Long (7+ km),Non-Peak,53.6,43.8,Delivered,3.8,R022
1106,2024-02-11,2024-02-11 14:55:00,14,No,After,High,4.68,Medium (3-7 km),Peak,42.8,20.7,Cancelled,,R098
1107,2024-01-21,2024-01-21 12:20:00,12,Yes,Before,High,3.33,Medium (3-7 km),Peak,24.0,19.8,Delivered,4.0,R072
1108,2024-02-18,2024-02-18 22:26:00,22,No,After,High,5.18,Medium (3-7 km),Peak,46.3,22.6,Cancelled,,R005
1109,2024-02-17,2024-02-17 16:22:00,16,No,After,High,3.95,Medium (3-7 km),Non-Peak,22.5,19.6,Delivered,3.7,R167
1110,2024-01-03,2024-01-03 18:15:00,18,Yes,Before,High,10.36,Long (7+ km),Non-Peak,36.7,33.9,Cancelled,,R040
1111,2024-01-16,2024-01-16 11:42:00,11,Yes,Before,High,7.0,Medium (3-7 km),Non-Peak,27.2,28.2,Delivered,4.4,R120
1112,2024-02-14,2024-02-14 12:23:00,12,No,After,High,2.14,Short (0-3 km),Peak,34.3,16.6,Delivered,4.3,R192
1113,2024-02-15,2024-02-15 11:52:00,11,No,After,High,4.67,Medium (3-7 km),Non-Peak,27.8,22.5,Delivered,3.2,R149
1114,2024-01-02,2024-01-02 21:36:00,21,Yes,Before,Medium,4.64,Medium (3-7 km),Peak,28.4,21.2,Delivered,4.4,R102
1115,2024-02-15,2024-02-15 12:37:00,12,No,After,Medium,8.53,Long (7+ km),Peak,45.5,30.9,Delivered,4.2,R027
1116,2024-02-14,2024-02-14 18:54:00,18,No,After,Medium,8.83,Long (7+ km),Non-Peak,44.8,30.0,Delivered,3.0,R145
1117,2024-02-20,2024-02-20 09:34:00,9,No,After,High,4.88,Medium (3-7 km),Non-Peak,23.9,23.6,Delivered,3.9,R130
1118,2024-02-11,2024-02-11 13:54:00,13,No,After,High,2.55,Short (0-3 km),Peak,37.8,17.7,Delivered,4.1,R111
1119,2024-01-24,2024-01-24 17:53:00,17,Yes,Before,High,4.99,Medium (3-7 km),Non-Peak,24.1,22.8,Delivered,3.5,R046
1120,2024-02-16,2024-02-16 16:41:00,16,No,After,High,9.94,Long (7+ km),Non-Peak,38.9,34.8,Delivered,5.0,R138
1121,2024-02-19,2024-02-19 15:27:00,15,No,After,Low,5.82,Medium (3-7 km),Non-Peak,39.2,22.8,Delivered,3.4,R083
1122,2024-02-24,2024-02-24 12:59:00,12,No,After,High,2.7,Short (0-3 km),Peak,33.1,17.0,Delivered,4.5,R063
1123,2024-02-18,2024-02-18 15:39:00,15,No,After,Medium,2.98,Short (0-3 km),Non-Peak,23.4,17.1,Delivered,3.6,R127
1124,2024-02-24,2024-02-24 13:31:00,13,No,After,High,1.16,Short (0-3 km),Peak,28.6,14.3,Delivered,3.1,R088
1125,2024-01-18,2024-01-18 20:44:00,20,Yes,Before,Low,5.8,Medium (3-7 km),Peak,32.7,25.8,Delivered,5.0,R133
1126,2024-01-13,2024-01-13 10:46:00,10,Yes,Before,High,4.62,Medium (3-7 km),Non-Peak,22.5,20.8,Delivered,4.1,R062
1127,2024-02-14,2024-02-14 15:45:00,15,No,After,High,4.84,Medium (3-7 km),Non-Peak,29.7,22.0,Delivered,2.1,R024
1128,2024-01-19,2024-01-19 12:44:00,12,Yes,Before,High,8.36,Long (7+ km),Peak,31.2,31.0,Delivered,4.0,R095
1129,2024-01-31,2024-01-31 16:22:00,16,No,After,High,4.16,Medium (3-7 km),Non-Peak,27.8,20.4,Delivered,4.3,R085
1130,2024-01-23,2024-01-23 18:17:00,18,Yes,Before,High,8.46,Long (7+ km),Non-Peak,30.8,28.7,Delivered,4.3,R185
1131,2024-01-13,2024-01-13 13:47:00,13,Yes,Before,Medium,4.2,Medium (3-7 km),Peak,26.9,20.0,Delivered,4.1,R048
1132,2024-01-13,2024-01-13 12:30:00,12,Yes,Before,High,3.72,Medium (3-7 km),Peak,26.4,20.7,Delivered,5.0,R195
1133,2024-02-03,2024-02-03 17:06:00,17,No,After,Low,2.71,Short (0-3 km),Non-Peak,24.7,18.6,Delivered,4.8,R093
1134,2024-01-12,2024-01-12 13:45:00,13,Yes,Before,Medium,3.45,Medium (3-7 km),Peak,26.7,19.4,Delivered,3.4,R014
1135,2024-02-05,2024-02-05 13:08:00,13,No,After,Medium,6.54,Medium (3-7 km),Peak,43.7,25.7,Delivered,3.8,R027
1136,2024-02-25,2024-02-25 08:18:00,8,No,After,High,4.27,Medium (3-7 km),Non-Peak,28.3,22.1,Delivered,4.4,R048
1137,2024-01-04,2024-01-04 12:55:00,12,Yes,Before,High,3.79,Medium (3-7 km),Peak,30.4,19.1,Delivered,4.6,R103
1138,2024-02-01,2024-02-01 10:40:00,10,No,After,Medium,4.88,Medium (3-7 km),Non-Peak,31.7,21.3,Delivered,2.7,R145
1139,2024-01-20,2024-01-20 10:15:00,10,Yes,Before,High,5.91,Medium (3-7 km),Non-Peak,27.9,25.5,Delivered,4.4,R156
1140,2024-02-08,2024-02-08 19:14:00,19,No,After,Medium,7.33,Long (7+ km),Peak,51.3,27.7,Delivered,2.9,R114
1141,2024-01-20,2024-01-20 20:27:00,20,Yes,Before,High,3.77,Medium (3-7 km),Peak,22.7,19.5,Delivered,4.5,R157
1142,2024-02-17,2024-02-17 10:48:00,10,No,After,High,2.82,Short (0-3 km),Non-Peak,22.5,17.9,Delivered,4.9,R170
1143,2024-01-06,2024-01-06 11:11:00,11,Yes,Before,Medium,3.85,Medium (3-7 km),Non-Peak,22.9,19.1,Delivered,3.9,R105
1144,2024-01-29,2024-01-29 18:30:00,18,Yes,Before,High,4.76,Medium (3-7 km),Non-Peak,24.0,21.5,Delivered,4.0,R181
1145,2024-01-19,2024-01-19 18:29:00,18,Yes,Before,High,5.06,Medium (3-7 km),Non-Peak,23.2,22.6,Delivered,3.8,R068
1146,2024-02-20,2024-02-20 19:37:00,19,No,After,Medium,11.09,Long (7+ km),Peak,55.4,35.2,Delivered,4.3,R109
1147,2024-01-08,2024-01-08 16:41:00,16,Yes,Before,High,1.86,Short (0-3 km),Non-Peak,14.2,15.7,Delivered,4.1,R037
1148,2024-01-05,2024-01-05 10:50:00,10,Yes,Before,High,5.42,Medium (3-7 km),Non-Peak,25.7,24.0,Delivered,4.8,R146
1149,2024-02-28,2024-02-28 13:07:00,13,No,After,High,3.57,Medium (3-7 km),Peak,29.0,20.8,Delivered,4.0,R104
1150,2024-01-18,2024-01-18 16:31:00,16,Yes,Before,High,4.97,Medium (3-7 km),Non-Peak,21.6,23.7,Delivered,4.5,R111
1151,2024-02-17,2024-02-17 13:16:00,13,No,After,High,4.03,Medium (3-7 km),Peak,37.1,21.4,Delivered,4.2,R173
1152,2024-02-23,2024-02-23 20:37:00,20,No,After,Low,4.7,Medium (3-7 km),Peak,41.9,20.6,Delivered,3.1,R173
1153,2024-02-22,2024-02-22 12:02:00,12,No,After,Medium,8.49,Long (7+ km),Peak,49.7,31.1,Delivered,2.5,R133
1154,2024-02-11,2024-02-11 14:17:00,14,No,After,High,7.51,Long (7+ km),Peak,44.1,27.2,Delivered,4.1,R163
1155,2024-02-22,2024-02-22 15:05:00,15,No,After,High,4.59,Medium (3-7 km),Non-Peak,26.6,22.0,Delivered,2.2,R083
1156,2024-02-12,2024-02-12 11:10:00,11,No,After,High,3.59,Medium (3-7 km),Non-Peak,29.9,18.6,Delivered,3.5,R074
1157,2024-02-12,2024-02-12 21:52:00,21,No,After,Medium,3.0,Short (0-3 km),Peak,25.7,18.6,Cancelled,,R023
1158,2024-01-21,2024-01-21 12:07:00,12,Yes,Before,Low,2.45,Short (0-3 km),Peak,27.8,18.2,Delivered,5.0,R132
1159,2024-02-22,2024-02-22 23:42:00,23,No,After,Low,3.22,Medium (3-7 km),Non-Peak,35.3,17.6,Delivered,3.7,R014
1160,2024-01-13,2024-01-13 16:39:00,16,Yes,Before,Medium,3.28,Medium (3-7 km),Non-Peak,20.0,17.4,Delivered,4.9,R195
1161,2024-01-04,2024-01-04 12:35:00,12,Yes,Before,High,3.72,Medium (3-7 km),Peak,23.1,18.6,Delivered,4.8,R179
1162,2024-02-01,2024-02-01 11:40:00,11,No,After,Medium,3.4,Medium (3-7 km),Non-Peak,26.1,19.3,Delivered,3.2,R041
1163,2024-01-20,2024-01-20 16:35:00,16,Yes,Before,High,4.87,Medium (3-7 km),Non-Peak,23.9,21.1,Delivered,4.4,R030
1164,2024-01-30,2024-01-30 21:41:00,21,Yes,Before,Low,5.3,Medium (3-7 km),Peak,37.6,21.9,Delivered,3.2,R184
1165,2024-01-19,2024-01-19 16:17:00,16,Yes,Before,High,2.39,Short (0-3 km),Non-Peak,16.0,16.7,Delivered,3.9,R121
1166,2024-01-16,2024-01-16 15:09:00,15,Yes,Before,High,5.01,Medium (3-7 km),Non-Peak,25.3,22.5,Delivered,4.9,R131
1167,2024-02-17,2024-02-17 20:55:00,20,No,After,High,5.32,Medium (3-7 km),Peak,34.2,24.3,Delivered,4.0,R107
1168,2024-01-22,2024-01-22 21:32:00,21,Yes,Before,High,6.02,Medium (3-7 km),Peak,33.5,25.3,Cancelled,,R186
1169,2024-01-20,2024-01-20 19:37:00,19,Yes,Before,Low,5.78,Medium (3-7 km),Peak,38.8,25.0,Delivered,4.1,R039
1170,2024-01-29,2024-01-29 16:22:00,16,Yes,Before,High,4.82,Medium (3-7 km),Non-Peak,22.4,21.1,Delivered,4.5,R097
1171,2024-01-30,2024-01-30 21:55:00,21,Yes,Before,High,5.48,Medium (3-7 km),Peak,28.3,22.9,Delivered,4.3,R147
1172,2024-01-25,2024-01-25 12:49:00,12,Yes,Before,High,4.59,Medium (3-7 km),Peak,24.9,22.0,Delivered,5.0,R122
1173,2024-02-15,2024-02-15 21:24:00,21,No,After,High,4.99,Medium (3-7 km),Peak,37.8,22.0,Delivered,3.7,R167
1174,2024-01-10,2024-01-10 15:02:00,15,Yes,Before,High,6.07,Medium (3-7 km),Non-Peak,25.6,24.3,Delivered,4.3,R085
1175,2024-02-25,2024-02-25 11:54:00,11,No,After,High,3.74,Medium (3-7 km),Non-Peak,23.4,20.1,Delivered,3.4,R117
1176,2024-01-01,2024-01-01 18:26:00,18,Yes,Before,Low,5.41,Medium (3-7 km),Non-Peak,30.2,24.0,Delivered,3.2,R020
1177,2024-01-31,2024-01-31 19:16:00,19,No,After,High,3.66,Medium (3-7 km),Peak,32.7,18.7,Delivered,4.3,R167
1178,2024-01-06,2024-01-06 20:54:00,20,Yes,Before,Medium,5.06,Medium (3-7 km),Peak,26.6,24.0,Delivered,4.7,R082
1179,2024-02-10,2024-02-10 18:48:00,18,No,After,High,4.01,Medium (3-7 km),Non-Peak,27.1,20.7,Delivered,2.8,R159
1180,2024-01-05,2024-01-05 12:43:00,12,Yes,Before,Low,3.17,Medium (3-7 km),Peak,28.2,19.7,Delivered,3.8,R192
1181,2024-01-06,2024-01-06 14:06:00,14,Yes,Before,Medium,3.21,Medium (3-7 km),Peak,24.8,18.2,Delivered,4.2,R026
1182,2024-01-29,2024-01-29 11:19:00,11,Yes,Before,Low,7.84,Long (7+ km),Non-Peak,36.5,29.6,Delivered,4.5,R015
1183,2024-01-19,2024-01-19 13:27:00,13,Yes,Before,High,6.07,Medium (3-7 km),Peak,28.8,23.5,Delivered,4.3,R145
1184,2024-02-13,2024-02-13 19:10:00,19,No,After,High,6.39,Medium (3-7 km),Peak,47.1,24.7,Delivered,4.8,R098
1185,2024-02-09,2024-02-09 18:31:00,18,No,After,Low,3.09,Medium (3-7 km),Non-Peak,27.2,19.2,Delivered,3.4,R119
1186,2024-02-10,2024-02-10 12:16:00,12,No,After,Medium,1.74,Short (0-3 km),Peak,18.0,15.9,Delivered,4.2,R120
1187,2024-02-27,2024-02-27 13:34:00,13,No,After,High,5.4,Medium (3-7 km),Peak,39.3,22.2,Delivered,3.7,R089
1188,2024-02-07,2024-02-07 13:27:00,13,No,After,Medium,2.51,Short (0-3 km),Peak,40.7,16.5,Delivered,3.7,R078
1189,2024-01-13,2024-01-13 23:54:00,23,Yes,Before,High,2.89,Short (0-3 km),Non-Peak,17.8,16.6,Delivered,4.1,R147
1190,2024-01-23,2024-01-23 16:44:00,16,Yes,Before,High,2.72,Short (0-3 km),Non-Peak,20.4,18.4,Delivered,4.6,R169
1191,2024-01-26,2024-01-26 12:36:00,12,Yes,Before,Low,3.5,Medium (3-7 km),Peak,28.3,19.8,Delivered,3.7,R013
